City,District,SEGE_2022_Rank_Turkiye,Rank_Within_City,Dominant_Age_Groups,Population_Gender_Ratio,Household_Expenditure_Highlights,Business_Openings_2023,Business_Closures_2023,Key_Trends,Key_Opportunities,Key_Challenges
Afyonkarahisar,İhsaniye,596,7,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",15,20,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,İscehisar,533,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",5,21,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Kızılören,714,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",6,28,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Merkez,258,3,"Mixed Population, slight aging trend",Balanced,"Focus on basic necessities, local retail, and agriculture-related products.",39,48,"Stagnant local economy, with some growth from being the provincial administrative center.","Modernizing local agriculture, government service support, local product branding.","Limited employment opportunities, brain drain to larger cities, underdeveloped infrastructure."
Afyonkarahisar,Sandıklı,531,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",10,22,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Sinanpaşa,753,8,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",13,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Sultandağı,632,13,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",12,19,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Afyonkarahisar,Şuhut,730,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",9,29,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Diyadin,831,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",7,12,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Doğubayazıt,515,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,22,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Eleşkirt,806,10,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",17,22,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Hamur,718,8,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",12,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Merkez,343,1,"Mixed Population, slight aging trend",Balanced,"Focus on basic necessities, local retail, and agriculture-related products.",56,35,"Stagnant local economy, with some growth from being the provincial administrative center.","Modernizing local agriculture, government service support, local product branding.","Limited employment opportunities, brain drain to larger cities, underdeveloped infrastructure."
Ağrı,Patnos,721,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",8,13,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Taşlıçay,532,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,25,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ağrı,Tutak,657,10,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",16,28,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Amasya,Göynücek,525,13,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",17,23,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Amasya,Gümüşhacıköy,833,12,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",5,24,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Amasya,Hamamözü,839,10,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,28,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Amasya,Merkez,583,1,"Mixed Population, slight aging trend",Balanced,"Focus on basic necessities, local retail, and agriculture-related products.",26,48,"Stagnant local economy, with some growth from being the provincial administrative center.","Modernizing local agriculture, government service support, local product branding.","Limited employment opportunities, brain drain to larger cities, underdeveloped infrastructure."
Amasya,Suluova,627,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,23,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Amasya,Taşova,827,8,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",10,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Akyurt,548,12,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,30,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Altındağ,958,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",15,19,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Ayaş,611,17,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",11,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Bala,781,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",15,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Beypazarı,922,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",15,11,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Çamlıdere,800,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",22,28,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Çankaya,2,5,Young Professionals & Established Families (25-50),Slight Female Majority,"High spending on housing, dining, private education, and cultural activities.",226,124,"Strong growth in tech, finance, and creative industries. Shift towards boutique and high-end services.","Luxury wellness, gourmet food markets, co-working spaces, specialized consultancy.","Extremely high commercial rent, intense market competition, traffic congestion."
Ankara,Çubuk,945,20,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",22,25,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Elmadağ,703,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",24,11,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Etimesgut,102,3,Diverse Mix (Tourism) or Young Families (Suburbs),Slight Female Majority,"High seasonal spending on tourism, accommodation, and food. In suburbs, focus on education and mortgages.",87,135,Heavy reliance on tourism season. Rapid residential development in suburban areas.,"Eco-tourism, boutique hotels, year-round activities, family-oriented services in suburbs.","Seasonal economy, high business turnover, infrastructure lagging behind development."
Ankara,Evren,931,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",12,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Gölbaşı,960,18,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",11,19,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Güdül,762,7,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",11,23,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Haymana,841,6,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",25,17,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Kahramankazan,815,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",14,15,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Kalecik,541,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",25,13,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Keçiören,514,11,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",25,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Kızılcahamam,561,14,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",6,23,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Mamak,971,17,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",14,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Nallıhan,675,18,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",15,24,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Polatlı,883,5,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",6,16,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Pursaklar,254,4,Diverse Mix (Tourism) or Young Families (Suburbs),Slight Female Majority,"High seasonal spending on tourism, accommodation, and food. In suburbs, focus on education and mortgages.",97,89,Heavy reliance on tourism season. Rapid residential development in suburban areas.,"Eco-tourism, boutique hotels, year-round activities, family-oriented services in suburbs.","Seasonal economy, high business turnover, infrastructure lagging behind development."
Ankara,Şereflikoçhisar,958,14,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",10,20,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Sincan,560,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",16,12,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Ankara,Yenimahalle,3,5,Young Professionals & Established Families (25-50),Slight Female Majority,"High spending on housing, dining, private education, and cultural activities.",301,125,"Strong growth in tech, finance, and creative industries. Shift towards boutique and high-end services.","Luxury wellness, gourmet food markets, co-working spaces, specialized consultancy.","Extremely high commercial rent, intense market competition, traffic congestion."
Antalya,Akseki,874,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",8,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Aksu,582,20,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",20,18,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Alanya,119,7,Diverse Mix (Tourism) or Young Families (Suburbs),Slight Female Majority,"High seasonal spending on tourism, accommodation, and food. In suburbs, focus on education and mortgages.",75,75,Heavy reliance on tourism season. Rapid residential development in suburban areas.,"Eco-tourism, boutique hotels, year-round activities, family-oriented services in suburbs.","Seasonal economy, high business turnover, infrastructure lagging behind development."
Antalya,Döşemealtı,866,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",9,27,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Elmalı,647,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",21,25,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Finike,754,14,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",23,22,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Gazipaşa,797,19,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",9,10,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,Gündoğmuş,561,9,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",20,23,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
Antalya,İbradı,532,16,Aging Population (55+),Slight Male Majority due to female migration,"Overwhelmingly focused on agricultural supplies, healthcare, and basic food items.",19,17,"Economic contraction, decline of small-scale farming, population decline.","Government subsidies for agriculture, niche organic farming, rural tourism.","Outward migration of youth, lack of economic diversification, poor infrastructure."
